"Year","BEST_CNTY_NAME","BSNS_SGMNT","Facility_visit","claim_type","total_count"
2010,"<UNKNOWN>","<UNKNOWN>","Emergency Room",0,2
2010,"<UNKNOWN>","<UNKNOWN>","Professional",0,3
2010,"<UNKNOWN>","CHILD HEALTH PLUS","Professional",0,17
2010,"<UNKNOWN>","COMMERCIAL","Emergency Room",0,17
2010,"<UNKNOWN>","COMMERCIAL","Inpatient",0,4
2010,"<UNKNOWN>","COMMERCIAL","Other",0,65
2010,"<UNKNOWN>","COMMERCIAL","Outpatient",0,105
2010,"<UNKNOWN>","COMMERCIAL","Professional",0,492
2010,"<UNKNOWN>","FAMILY HEALTH PLUS","Emergency Room",0,4
2010,"<UNKNOWN>","FAMILY HEALTH PLUS","Other",0,2
2010,"<UNKNOWN>","FAMILY HEALTH PLUS","Outpatient",0,5
2010,"<UNKNOWN>","FAMILY HEALTH PLUS","Professional",0,19
2010,"<UNKNOWN>","MEDICAID","Emergency Room",0,31
2010,"<UNKNOWN>","MEDICAID","Inpatient",0,5
2010,"<UNKNOWN>","MEDICAID","Other",0,17
2010,"<UNKNOWN>","MEDICAID","Outpatient",0,64
2010,"<UNKNOWN>","MEDICAID","Professional",0,257
2010,"<UNKNOWN>","MEDICARE","Emergency Room",0,1
2010,"<UNKNOWN>","MEDICARE","Inpatient",0,1
2010,"<UNKNOWN>","MEDICARE","Other",0,5
2010,"<UNKNOWN>","MEDICARE","Outpatient",0,27
2010,"<UNKNOWN>","MEDICARE","Professional",0,79
2010,"ALBANY","<UNKNOWN>","Emergency Room",0,25
2010,"ALBANY","<UNKNOWN>","Inpatient",0,1
2010,"ALBANY","<UNKNOWN>","Other",0,35
2010,"ALBANY","<UNKNOWN>","Outpatient",0,6
2010,"ALBANY","<UNKNOWN>","Professional",0,423
2010,"ALBANY","CHILD HEALTH PLUS","Professional",0,1
2010,"ALBANY","COMMERCIAL","Emergency Room",0,1061
2010,"ALBANY","COMMERCIAL","Inpatient",0,121
2010,"ALBANY","COMMERCIAL","Other",0,1244
2010,"ALBANY","COMMERCIAL","Outpatient",0,1291
2010,"ALBANY","COMMERCIAL","Professional",0,21853
2010,"ALBANY","COMMERCIAL","Professional",1,2
2010,"ALBANY","HEALTHY NEW YORK","Outpatient",0,1
2010,"ALBANY","HEALTHY NEW YORK","Professional",0,6
2010,"ALBANY","MEDICAID","Emergency Room",0,11
2010,"ALBANY","MEDICAID","Other",0,2
2010,"ALBANY","MEDICAID","Outpatient",0,11
2010,"ALBANY","MEDICAID","Professional",0,26
2010,"ALBANY","MEDICARE","Emergency Room",0,32
2010,"ALBANY","MEDICARE","Inpatient",0,13
2010,"ALBANY","MEDICARE","Other",0,108
2010,"ALBANY","MEDICARE","Outpatient",0,109
2010,"ALBANY","MEDICARE","Professional",0,777
2010,"ALBANY","SSA","Emergency Room",0,39
2010,"ALBANY","SSA","Inpatient",0,4
2010,"ALBANY","SSA","Other",0,34
2010,"ALBANY","SSA","Outpatient",0,98
2010,"ALBANY","SSA","Professional",0,1085
2010,"ALLEGANY","<UNKNOWN>","Emergency Room",0,33
2010,"ALLEGANY","<UNKNOWN>","Inpatient",0,13
2010,"ALLEGANY","<UNKNOWN>","Other",0,30
2010,"ALLEGANY","<UNKNOWN>","Outpatient",0,20
2010,"ALLEGANY","<UNKNOWN>","Professional",0,440
2010,"ALLEGANY","CHILD HEALTH PLUS","Emergency Room",0,158
2010,"ALLEGANY","CHILD HEALTH PLUS","Inpatient",0,11
2010,"ALLEGANY","CHILD HEALTH PLUS","Other",0,84
2010,"ALLEGANY","CHILD HEALTH PLUS","Outpatient",0,202
2010,"ALLEGANY","CHILD HEALTH PLUS","Professional",0,1367
2010,"ALLEGANY","COMMERCIAL","Emergency Room",0,1697
2010,"ALLEGANY","COMMERCIAL","Inpatient",0,221
2010,"ALLEGANY","COMMERCIAL","Other",0,1750
2010,"ALLEGANY","COMMERCIAL","Outpatient",0,5636
2010,"ALLEGANY","COMMERCIAL","Professional",0,27088
2010,"ALLEGANY","COMMERCIAL","Professional",1,1
2010,"ALLEGANY","DIRECT PAY HMO","Other",0,16
2010,"ALLEGANY","DIRECT PAY HMO","Outpatient",0,46
2010,"ALLEGANY","DIRECT PAY HMO","Professional",0,74
2010,"ALLEGANY","DIRECT PAY POS","Outpatient",0,3
2010,"ALLEGANY","DIRECT PAY POS","Professional",0,15
2010,"ALLEGANY","FAMILY HEALTH PLUS","Emergency Room",0,445
2010,"ALLEGANY","FAMILY HEALTH PLUS","Inpatient",0,42
2010,"ALLEGANY","FAMILY HEALTH PLUS","Other",0,284
2010,"ALLEGANY","FAMILY HEALTH PLUS","Outpatient",0,1091
2010,"ALLEGANY","FAMILY HEALTH PLUS","Professional",0,3572
2010,"ALLEGANY","FAMILY HEALTH PLUS","Professional",1,1
2010,"ALLEGANY","HEALTHY NEW YORK","Emergency Room",0,83
2010,"ALLEGANY","HEALTHY NEW YORK","Inpatient",0,12
2010,"ALLEGANY","HEALTHY NEW YORK","Other",0,21
2010,"ALLEGANY","HEALTHY NEW YORK","Outpatient",0,470
2010,"ALLEGANY","HEALTHY NEW YORK","Professional",0,1356
2010,"ALLEGANY","MEDICAID","Emergency Room",0,2268
2010,"ALLEGANY","MEDICAID","Emergency Room",1,1
2010,"ALLEGANY","MEDICAID","Inpatient",0,221
2010,"ALLEGANY","MEDICAID","Other",0,1094
2010,"ALLEGANY","MEDICAID","Outpatient",0,3903
2010,"ALLEGANY","MEDICAID","Professional",0,14996
2010,"ALLEGANY","MEDICARE","Emergency Room",0,225
