"Year","BEST_CNTY_NAME","BSNS_SGMNT","Facility_visit","claim_type","total_count"
2010,"<UNKNOWN>","<UNKNOWN>","Emergency Room",0,4
2010,"<UNKNOWN>","<UNKNOWN>","Professional",0,5
2010,"<UNKNOWN>","CHILD HEALTH PLUS","Professional",0,25
2010,"<UNKNOWN>","COMMERCIAL","Emergency Room",0,26
2010,"<UNKNOWN>","COMMERCIAL","Inpatient",0,64
2010,"<UNKNOWN>","COMMERCIAL","Other",0,141
2010,"<UNKNOWN>","COMMERCIAL","Outpatient",0,442
2010,"<UNKNOWN>","COMMERCIAL","Professional",0,803
2010,"<UNKNOWN>","FAMILY HEALTH PLUS","Emergency Room",0,9
2010,"<UNKNOWN>","FAMILY HEALTH PLUS","Other",0,3
2010,"<UNKNOWN>","FAMILY HEALTH PLUS","Outpatient",0,20
2010,"<UNKNOWN>","FAMILY HEALTH PLUS","Professional",0,26
2010,"<UNKNOWN>","MEDICAID","Emergency Room",0,94
2010,"<UNKNOWN>","MEDICAID","Inpatient",0,158
2010,"<UNKNOWN>","MEDICAID","Other",0,25
2010,"<UNKNOWN>","MEDICAID","Outpatient",0,199
2010,"<UNKNOWN>","MEDICAID","Professional",0,425
2010,"<UNKNOWN>","MEDICARE","Emergency Room",0,1
2010,"<UNKNOWN>","MEDICARE","Inpatient",0,11
2010,"<UNKNOWN>","MEDICARE","Other",0,11
2010,"<UNKNOWN>","MEDICARE","Outpatient",0,69
2010,"<UNKNOWN>","MEDICARE","Professional",0,115
2010,"ALBANY","<UNKNOWN>","Emergency Room",0,82
2010,"ALBANY","<UNKNOWN>","Inpatient",0,8
2010,"ALBANY","<UNKNOWN>","Other",0,66
2010,"ALBANY","<UNKNOWN>","Outpatient",0,32
2010,"ALBANY","<UNKNOWN>","Professional",0,830
2010,"ALBANY","CHILD HEALTH PLUS","Professional",0,4
2010,"ALBANY","COMMERCIAL","Emergency Room",0,4669
2010,"ALBANY","COMMERCIAL","Inpatient",0,1407
2010,"ALBANY","COMMERCIAL","Other",0,2272
2010,"ALBANY","COMMERCIAL","Outpatient",0,5732
2010,"ALBANY","COMMERCIAL","Professional",0,42917
2010,"ALBANY","COMMERCIAL","Professional",1,2
2010,"ALBANY","HEALTHY NEW YORK","Outpatient",0,1
2010,"ALBANY","HEALTHY NEW YORK","Professional",0,9
2010,"ALBANY","MEDICAID","Emergency Room",0,42
2010,"ALBANY","MEDICAID","Other",0,2
2010,"ALBANY","MEDICAID","Outpatient",0,23
2010,"ALBANY","MEDICAID","Professional",0,35
2010,"ALBANY","MEDICARE","Emergency Room",0,101
2010,"ALBANY","MEDICARE","Inpatient",0,152
2010,"ALBANY","MEDICARE","Other",0,199
2010,"ALBANY","MEDICARE","Outpatient",0,504
2010,"ALBANY","MEDICARE","Professional",0,1251
2010,"ALBANY","SSA","Emergency Room",0,181
2010,"ALBANY","SSA","Inpatient",0,52
2010,"ALBANY","SSA","Other",0,62
2010,"ALBANY","SSA","Outpatient",0,549
2010,"ALBANY","SSA","Professional",0,2366
2010,"ALLEGANY","<UNKNOWN>","Emergency Room",0,128
2010,"ALLEGANY","<UNKNOWN>","Inpatient",0,35
2010,"ALLEGANY","<UNKNOWN>","Other",0,42
2010,"ALLEGANY","<UNKNOWN>","Outpatient",0,93
2010,"ALLEGANY","<UNKNOWN>","Professional",0,693
2010,"ALLEGANY","CHILD HEALTH PLUS","Emergency Room",0,177
2010,"ALLEGANY","CHILD HEALTH PLUS","Inpatient",0,87
2010,"ALLEGANY","CHILD HEALTH PLUS","Other",0,174
2010,"ALLEGANY","CHILD HEALTH PLUS","Outpatient",0,539
2010,"ALLEGANY","CHILD HEALTH PLUS","Professional",0,1964
2010,"ALLEGANY","COMMERCIAL","Emergency Room",0,6728
2010,"ALLEGANY","COMMERCIAL","Inpatient",0,2906
2010,"ALLEGANY","COMMERCIAL","Other",0,2949
2010,"ALLEGANY","COMMERCIAL","Outpatient",0,21117
2010,"ALLEGANY","COMMERCIAL","Professional",0,47081
2010,"ALLEGANY","COMMERCIAL","Professional",1,11
2010,"ALLEGANY","DIRECT PAY HMO","Other",0,25
2010,"ALLEGANY","DIRECT PAY HMO","Outpatient",0,511
2010,"ALLEGANY","DIRECT PAY HMO","Professional",0,109
2010,"ALLEGANY","DIRECT PAY POS","Outpatient",0,14
2010,"ALLEGANY","DIRECT PAY POS","Professional",0,27
2010,"ALLEGANY","FAMILY HEALTH PLUS","Emergency Room",0,447
2010,"ALLEGANY","FAMILY HEALTH PLUS","Inpatient",0,633
2010,"ALLEGANY","FAMILY HEALTH PLUS","Other",0,648
2010,"ALLEGANY","FAMILY HEALTH PLUS","Outpatient",0,3639
2010,"ALLEGANY","FAMILY HEALTH PLUS","Professional",0,5353
2010,"ALLEGANY","FAMILY HEALTH PLUS","Professional",1,15
2010,"ALLEGANY","HEALTHY NEW YORK","Emergency Room",0,119
2010,"ALLEGANY","HEALTHY NEW YORK","Inpatient",0,146
2010,"ALLEGANY","HEALTHY NEW YORK","Other",0,32
2010,"ALLEGANY","HEALTHY NEW YORK","Outpatient",0,1682
2010,"ALLEGANY","HEALTHY NEW YORK","Professional",0,2236
2010,"ALLEGANY","MEDICAID","Emergency Room",0,2430
2010,"ALLEGANY","MEDICAID","Emergency Room",1,1
2010,"ALLEGANY","MEDICAID","Inpatient",0,2993
2010,"ALLEGANY","MEDICAID","Other",0,2025
2010,"ALLEGANY","MEDICAID","Outpatient",0,12653
2010,"ALLEGANY","MEDICAID","Professional",0,22311
2010,"ALLEGANY","MEDICARE","Emergency Room",0,432
2010,"ALLEGANY","MEDICARE","Inpatient",0,1658
2010,"ALLEGANY","MEDICARE","Inpatient",1,24
2010,"ALLEGANY","MEDICARE","Other",0,979
2010,"ALLEGANY","MEDICARE","Outpatient",0,4096
2010,"ALLEGANY","MEDICARE","Professional",0,6716
2010,"ALLEGANY","SSA","Emergency Room",0,57
2010,"ALLEGANY","SSA","Inpatient",0,44
2010,"ALLEGANY","SSA","Other",0,13
2010,"ALLEGANY","SSA","Outpatient",0,293
2010,"ALLEGANY","SSA","Professional",0,539
2010,"ALLEGANY","VALUMED","Emergency Room",0,6
2010,"ALLEGANY","VALUMED","Inpatient",0,52
2010,"ALLEGANY","VALUMED","Other",0,2
2010,"ALLEGANY","VALUMED","Outpatient",0,165
2010,"ALLEGANY","VALUMED","Professional",0,301
2010,"BRONX","<UNKNOWN>","Emergency Room",0,3
2010,"BRONX","<UNKNOWN>","Professional",0,58
2010,"BRONX","COMMERCIAL","Emergency Room",0,214
2010,"BRONX","COMMERCIAL","Inpatient",0,69
2010,"BRONX","COMMERCIAL","Other",0,33
2010,"BRONX","COMMERCIAL","Outpatient",0,248
2010,"BRONX","COMMERCIAL","Professional",0,1976
2010,"BRONX","MEDICAID","Emergency Room",0,16
2010,"BRONX","MEDICAID","Outpatient",0,11
2010,"BRONX","MEDICAID","Professional",0,7
2010,"BRONX","MEDICARE","Professional",0,83
2010,"BRONX","SSA","Professional",0,38
2010,"BROOME","<UNKNOWN>","Emergency Room",0,420
2010,"BROOME","<UNKNOWN>","Inpatient",0,411
2010,"BROOME","<UNKNOWN>","Other",0,284
2010,"BROOME","<UNKNOWN>","Outpatient",0,1346
2010,"BROOME","<UNKNOWN>","Professional",0,3508
2010,"BROOME","CHILD HEALTH PLUS","Emergency Room",0,6003
2010,"BROOME","CHILD HEALTH PLUS","Inpatient",0,606
2010,"BROOME","CHILD HEALTH PLUS","Other",0,3432
2010,"BROOME","CHILD HEALTH PLUS","Outpatient",0,9595
2010,"BROOME","CHILD HEALTH PLUS","Professional",0,35002
2010,"BROOME","COMMERCIAL","Emergency Room",0,118978
2010,"BROOME","COMMERCIAL","Emergency Room",1,36
2010,"BROOME","COMMERCIAL","Inpatient",0,49907
2010,"BROOME","COMMERCIAL","Inpatient",1,12
2010,"BROOME","COMMERCIAL","Other",0,85944
2010,"BROOME","COMMERCIAL","Outpatient",0,630261
2010,"BROOME","COMMERCIAL","Professional",0,1225258
2010,"BROOME","COMMERCIAL","Professional",1,2
2010,"BROOME","DIRECT PAY HMO","Emergency Room",0,36
2010,"BROOME","DIRECT PAY HMO","Outpatient",0,242
2010,"BROOME","DIRECT PAY HMO","Professional",0,205
2010,"BROOME","DIRECT PAY POS","Emergency Room",0,27
2010,"BROOME","DIRECT PAY POS","Inpatient",0,58
2010,"BROOME","DIRECT PAY POS","Other",0,88
2010,"BROOME","DIRECT PAY POS","Outpatient",0,403
